2025-02-14 15:18:49,985 - INFO - Выбран файл: ()
2025-02-14 15:18:49,985 - WARNING - Файл не выбран
2025-02-14 15:19:52,900 - INFO - Выбран файл: ()
2025-02-14 15:19:52,900 - WARNING - Файл не выбран
2025-02-27 16:02:44,420 - INFO - Выбран файл: /home/komandaf5/Загрузки/Merge Rejection Reasons (копия).xlsx
2025-02-27 16:02:50,467 - INFO - Введён URL: https://tglk.ru/in/YXjdztmamHxmEEAl
2025-02-27 16:02:51,023 - INFO - Запрос 1: {'lead_id': '31370129'}
2025-02-27 16:02:51,023 - INFO - Ответ 1: 200 {"status":true,"response":{"time":1740661371}}
2025-02-27 16:02:51,293 - INFO - Запрос 2: {'lead_id': '31362537'}
2025-02-27 16:02:51,293 - INFO - Ответ 2: 200 {"status":true,"response":{"time":1740661371}}
2025-02-27 16:02:51,560 - INFO - Запрос 3: {'lead_id': '31362293'}
2025-02-27 16:02:51,560 - INFO - Ответ 3: 200 {"status":true,"response":{"time":1740661371}}
2025-02-27 16:02:51,827 - INFO - Запрос 4: {'lead_id': '31362205'}
2025-02-27 16:02:51,827 - INFO - Ответ 4: 200 {"status":true,"response":{"time":1740661371}}
2025-02-27 16:02:52,093 - INFO - Запрос 5: {'lead_id': '31362203'}
2025-02-27 16:02:52,093 - INFO - Ответ 5: 200 {"status":true,"response":{"time":1740661372}}
2025-02-27 16:02:52,362 - INFO - Запрос 6: {'lead_id': '31362153'}
2025-02-27 16:02:52,362 - INFO - Ответ 6: 200 {"status":true,"response":{"time":1740661372}}
2025-02-27 16:02:52,626 - INFO - Запрос 7: {'lead_id': '31361959'}
2025-02-27 16:02:52,626 - INFO - Ответ 7: 200 {"status":true,"response":{"time":1740661372}}
2025-02-27 16:02:52,902 - INFO - Запрос 8: {'lead_id': '31361913'}
2025-02-27 16:02:52,903 - INFO - Ответ 8: 200 {"status":true,"response":{"time":1740661372}}
2025-02-27 16:02:53,173 - INFO - Запрос 9: {'lead_id': '31361887'}
2025-02-27 16:02:53,173 - INFO - Ответ 9: 200 {"status":true,"response":{"time":1740661373}}
2025-02-27 16:02:53,721 - INFO - Запрос 10: {'lead_id': '31361885'}
2025-02-27 16:02:53,722 - INFO - Ответ 10: 200 {"status":true,"response":{"time":1740661373}}
2025-02-27 16:02:53,990 - INFO - Запрос 11: {'lead_id': '31361883'}
2025-02-27 16:02:53,990 - INFO - Ответ 11: 200 {"status":true,"response":{"time":1740661373}}
2025-02-27 16:02:54,260 - INFO - Запрос 12: {'lead_id': '31361879'}
2025-02-27 16:02:54,260 - INFO - Ответ 12: 200 {"status":true,"response":{"time":1740661374}}
2025-02-27 16:02:54,526 - INFO - Запрос 13: {'lead_id': '31361387'}
2025-02-27 16:02:54,526 - INFO - Ответ 13: 200 {"status":true,"response":{"time":1740661374}}
2025-02-27 16:02:54,802 - INFO - Запрос 14: {'lead_id': '31361311'}
2025-02-27 16:02:54,802 - INFO - Ответ 14: 200 {"status":true,"response":{"time":1740661374}}
2025-02-27 16:02:55,072 - INFO - Запрос 15: {'lead_id': '31361287'}
2025-02-27 16:02:55,072 - INFO - Ответ 15: 200 {"status":true,"response":{"time":1740661375}}
2025-02-27 16:02:55,339 - INFO - Запрос 16: {'lead_id': '31361087'}
2025-02-27 16:02:55,339 - INFO - Ответ 16: 200 {"status":true,"response":{"time":1740661375}}
2025-02-27 16:02:55,606 - INFO - Запрос 17: {'lead_id': '31361049'}
2025-02-27 16:02:55,606 - INFO - Ответ 17: 200 {"status":true,"response":{"time":1740661375}}
2025-02-27 16:02:55,876 - INFO - Запрос 18: {'lead_id': '31361001'}
2025-02-27 16:02:55,877 - INFO - Ответ 18: 200 {"status":true,"response":{"time":1740661375}}
2025-02-27 16:02:56,143 - INFO - Запрос 19: {'lead_id': '31360971'}
2025-02-27 16:02:56,143 - INFO - Ответ 19: 200 {"status":true,"response":{"time":1740661376}}
2025-02-27 16:02:56,413 - INFO - Запрос 20: {'lead_id': '31360933'}
2025-02-27 16:02:56,413 - INFO - Ответ 20: 200 {"status":true,"response":{"time":1740661376}}
2025-02-27 16:02:56,680 - INFO - Запрос 21: {'lead_id': '31360905'}
2025-02-27 16:02:56,680 - INFO - Ответ 21: 200 {"status":true,"response":{"time":1740661376}}
2025-02-27 16:02:56,947 - INFO - Запрос 22: {'lead_id': '31360897'}
2025-02-27 16:02:56,947 - INFO - Ответ 22: 200 {"status":true,"response":{"time":1740661376}}
2025-02-27 16:02:57,218 - INFO - Запрос 23: {'lead_id': '31360863'}
2025-02-27 16:02:57,218 - INFO - Ответ 23: 200 {"status":true,"response":{"time":1740661377}}
2025-02-27 16:02:57,497 - INFO - Запрос 24: {'lead_id': '31360859'}
2025-02-27 16:02:57,497 - INFO - Ответ 24: 200 {"status":true,"response":{"time":1740661377}}
2025-02-27 16:02:58,043 - INFO - Запрос 25: {'lead_id': '31360857'}
2025-02-27 16:02:58,043 - INFO - Ответ 25: 200 {"status":true,"response":{"time":1740661378}}
2025-02-27 16:02:58,318 - INFO - Запрос 26: {'lead_id': '31360851'}
2025-02-27 16:02:58,319 - INFO - Ответ 26: 200 {"status":true,"response":{"time":1740661378}}
2025-02-27 16:02:58,597 - INFO - Запрос 27: {'lead_id': '31360809'}
2025-02-27 16:02:58,597 - INFO - Ответ 27: 200 {"status":true,"response":{"time":1740661378}}
2025-02-27 16:02:58,867 - INFO - Запрос 28: {'lead_id': '31360767'}
2025-02-27 16:02:58,868 - INFO - Ответ 28: 200 {"status":true,"response":{"time":1740661378}}
2025-02-27 16:02:59,131 - INFO - Запрос 29: {'lead_id': '31360735'}
2025-02-27 16:02:59,132 - INFO - Ответ 29: 200 {"status":true,"response":{"time":1740661379}}
